id,text,edit_history_tweet_ids
1873018051513471371,"@FabrizioRomano So, basically these were #RealMadrid awards🤣",1873018051513471371
1873013644046549417,"Moments when players signed their shirts that will be put in a charity auction ✍️❤️⚽️ 

@realmadrid @Cristiano @vinijr @BellinghamJude #ViniJr #CR7𓃵 #Ronaldo Ronaldo #judebellingham #RealMadrid #Madrid https://t.co/STalPGktvW",1873013644046549417
1873013537817436210,"🏴󠁧󠁢󠁥󠁮󠁧󠁿🇪🇸 #TrentAlexanderArnold won’t extend with #Liverpool! The defender is heading to #RealMadrid on a free transfer this summer. ✨

Increase #WelcomeBonus up to 2700 GHS with #PromoCode 👉🏾 MELXGH

#Trent #TransferRumors #TransferNews https://t.co/AhE2APXTcB",1873013537817436210
1873012361998499906,"Official Announcement: Sergio Scariolo's mother Angelina Caia passes away.
#RealMadrid",1873012361998499906
1873009570601419077,"No club in the WORLD has more followers on Instagram than Real Madrid 🌎📲

#RealMadrid #UCLRoyalty #MostFollowers #Football #Soccer #UCL #LaLiga #LatestNews #FootballBloodyHell #Sportify https://t.co/HuOcUU4V6x",1873009570601419077
1873007593301684336,"Yummy snacks 😋😋 

#USDT #Liverpool  #Israel #Russia #DOGE  #Bitcoin   #SouthKorea  #ค่าไฟแพง #H1B  #BangladeshiHindus  #zelena   #PAKvsSA #INDvsAUS #Indians #Primeminister 
#IncredibleIndia  #BangChan #BTS #ラヴィット #Kohli #shailenzo #SquidGame2  #RealMadrid #AAA2024 https://t.co/kkblTnoq1A",1873007593301684336
1873007398547538392,"Will Ronaldo buy Manchester United?
#ronaldo #cr7 #vinijr #ballondor #football #soccer #RealMadrid #UCLfinal #neymarjr #viniciusjr #speed #bellingham #messi #rodri #worldcup #pele #footballindia #footballskills #viral #manchester #manchesterunited #united #england #englandfootbal https://t.co/Wb4aNvalAT",1873007398547538392
1873004639031050512,"Could we see Trent at Real Madrid soon? With his contract winding down, rumors are buzzing about a 2025 move. A potential partnership with Jude Bellingham in midfield? Liverpool faces a big decision... keep him or cash in this January? #RealMadrid https://t.co/N5rC8CgD2L",1873004639031050512
1873003043941433587,"🤩 Bellingham named Best Midfielder and awarded the Maradona Award at the Globe Soccer Awards!
#RealMadrid 🥂 https://t.co/6Rpbvd8FCa",1873003043941433587
1872999596961743285,"🚨Cristiano Ronaldo: “Never consider Real Madrid dead; they always come back…”.

#RealMadrid #CristianoRonaldo https://t.co/zt77yw5wxz",1872999596961743285
1872999439960600982,@MLSMoves It’s funny because #CristianoRonaldo𓃵 scored #450 goals only for #RealMadrid and is a #European club 😂🤦🏽‍♂️,1872999439960600982
1872997476833395060,"@theMadridZone Ronaldo's always keeping the debate alive! Even when Real Madrid's ahead, he's questioning the narrative. 🐐 #Ronaldo #RealMadrid",1872997476833395060
1872993168066789748,BREAKING: Trent Alexander-Arnold has informed Liverpool that he intends to play for Real Madrid. #LFC #RealMadrid,1872993168066789748
1872993064215785833,"@thatguyharyor @MbappeNas Your passion for analyzing individual performances is admirable, but let's celebrate the collective team effort that secured victory! #RealMadrid 🏆",1872993064215785833
1872991024747814966,"Vinícius Jr has been crowned Best Men's Player at the Beyond Developments Globe Soccer Awards, awarded by His Highness Sheikh Mansoor bin Mohammed bin Rashid Al Maktoum. 

#ViniciusJr #BestMensPlayer #RealMadrid #FootballTalent #GlobeSoccerAwards https://t.co/lHKT0iuAWo",1872991024747814966
1872990541971095664,"MY GOAT @TrentAA is NOT leaving 
don't believing in spanish newspapers who are lapdogs of some clubs

YNWA 

#LFC #Trending #TAA #contract #Liverpool #RealMadrid #Transfer #trentalexander https://t.co/JswmgyRpPe",1872990541971095664
1872989517751435351,"At this point, I am just tired thie Real Madrid Pull. Every player woul twerk to player there 😮‍💨 #LFC #RealMadrid #TAA #trent",1872989517751435351
1872988872759755136,"❌Rodrygo received a very lucrative offer from Man City but rejected it.

‼ The Brazilian's main goal is to succeed at Madrid.

📰 Relevo

#EPLNews #EPL #premierleague #football #ManCity #MCFC #RealMadrid https://t.co/M7BdSxgH9L",1872988872759755136
1872988017650258095,The winner became C. Ronald from #RealMadrid https://t.co/gWbrpdLNAv,1872988017650258095
1872987583153918322,The winner became C.Ronaldo from #RealMadrid https://t.co/PW9dVHlf4l,1872987583153918322
1872987507476054375,How salty can vini be #RealMadrid,1872987507476054375
1872987320997298577,The winner became C. Ronald from #RealMadrid https://t.co/gEOXLtkLwo,1872987320997298577
1872987050611503342,The winner was L. Modric from #RealMadrid https://t.co/oyndTrv1QK,1872987050611503342
1872986503326122087,The win was K. Benzema from #RealMadrid https://t.co/LAmRthjRHs,1872986503326122087
1872983617263276394,9/9 wins expected. We are #RealMadrid https://t.co/3sHey13F2g,1872983617263276394
1872981444198596743,"Real Madrid Dominates Globe Soccer Awards; Ronaldo Wins Two Accolades

#dubai #sports #football #soccer #GlobeSoccerAwards #ronaldo #realmadrid #DubaiSportsCouncil @DubaiSC @Cristiano 

 https://t.co/INLW48Et6g via @onevillenews",1872981444198596743
1872981056007356668,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇪🇸 Real Madrid-bound?
Trent Alexander-Arnold has reportedly told Liverpool officials that he wants to join Real Madrid next summer. This news is a major opportunity for Florentino Perez, who is looking to strengthen the right-back position.
#AlexanderArnold #RealMadrid",1872981056007356668
1872977487560622253,"What a coup this would be for any of #MUFC, #MCFC, #NUFC, #AVFC or #BVB.

Thought #RealMadrid had more or less agreed a deal with the player already last summer... https://t.co/I2RI37KGfW",1872977487560622253
1872976968947515649,"🚨🏴󠁧󠁢󠁥󠁮󠁧󠁿| 𝗨𝗣𝗗𝗔𝗧𝗘: The Liverpool Echo understands that the rumors stating that Trent Alexander-Arnold has already communicated to Liverpool that he wishes to join Real Madrid are 𝗨𝗡𝗧𝗥𝗨𝗘!

🗞️ [@TheoSquiresECHO]

#LFC #RealMadrid https://t.co/vI14BSVPFi",1872976968947515649
1872976692060537256,"According to Marca, Alexander Arnold said to Liverpool that he wants to go on a free to real madrid.. thoughts?
https://t.co/EZK5ggPgRn
#transfernews #alexanderarnold #liverpool #realmadrid",1872976692060537256
1872976480596308295,"🚨  Real Madrid drops out of race for Argentine midfielder linked with top clubs across Europe.

#RealMadrid pull out of race for #NUFC, #AVFC, #MUFC, #MCFC and #BVB target 👇
https://t.co/MbQBGPNa0N",1872976480596308295
1872976119781310888,"After a serious thigh operation, Saka is expected to be out for many months. Reported by Sky Sport

#news #BREAKING #bbc #cnn #thesun #guardian #fifa #RealMadrid #ronaldo #messi #barca #england #spain #bundesliga #nachrichten #top #vip #fussball https://t.co/EVp5agJ4Jm",1872976119781310888
1872975673364759030,"2025 will show the real mbappe we all know
#RealMadrid #Madrid #losblancos https://t.co/2x5QXGnoxD",1872975673364759030
1872973269822845188,"As such, no one is panicking.

https://t.co/OV7103XGj3

#RealMadrid",1872973269822845188
1872970891354841212,"@FabrizioRomano Respect to Carvajal for his loyalty to Real Madrid. It’s rare to see such commitment. If he ever leaves, I’m sure he’ll choose a fitting destination. ⚪️🙌 #Carvajal #RealMadrid #Loyalty",1872970891354841212
1872970765391573401,#RealMadrid are confident that Eder Militao will be back to his best when he returns from his second ACL injury in 15 months. (Marca) https://t.co/sEPdbTLjBl,1872970765391573401
1872970753349697783,"Never forget that Mariano Díaz was wearing the #7 when Vini Jr. scored his first official goal for Real Madrid 😭😭 A moment that will forever be etched in our memories! ⚽ #RealMadrid #ViniJr
https://t.co/FfiqJGdnwR",1872970753349697783
1872970008424530333,#Liverpool are set to announce in 2025 that #trentalexanderarnold will leave the club and join #RealMadrid in the coming summer. #transfers,1872970008424530333
1872969727708152314,"#RealMadrid, if we were to sign a centre back, are looking for a new Eder #Militao. Young, fast, and able to win duels easily (aerial or ground). #transfers",1872969727708152314
1872965494694912320,"🔍 Real Madrid are on the hunt for a new Militão! 🛡️ They’re seeking a young, lightning-fast , and dominant  defender—one who excels in both aerial battles and ground duels . #RealMadrid @relevo https://t.co/WHJo5yDV28",1872965494694912320
1872965466358165744,"Five-time Ballon d'Or winner Cristiano Ronaldo said on Friday it was ""unfair"" that Real Madrid's Vinicius Junior missed out on this year's award.
#sports #soccer #christianoronaldo #realmadrid #ViniciusJr

Read on
https://t.co/Jg88Vi0AO8 https://t.co/QFVNfgjQyx",1872965466358165744
1872965443721531397,"🔴 #Liverpool fans call for Trent Alexander-Arnold to be dropped after #RealMadrid decision. A recent poll conducted by @LFCTransferRoom has revealed a split among #Liverpool fans regarding Alexander-Arnold’s place in the starting lineup.

https://t.co/jQ6KFWJfdt",1872965443721531397
1872964628097188142,"Valverde wants to shoot the Ballon d'or 

#football #Madrid #RealMadrid #HalaMadrid #sports https://t.co/n4HOzbePTB",1872964628097188142
1872964001568833997,"Trent Alexander-Arnold Informs Liverpool of Real Madrid Transfer Decision 
#CupsDeeps #trentalexanderarnold #Liverpool #RealMadrid #football #soccer
https://t.co/pfnwqXOMCU",1872964001568833997
1872962594316956050,"That is explosive😳🔥

Reportedly Trent is ready to ditch Anfield for the Bernabeu👀😬

#RealMadrid #LiverpoolFC https://t.co/vYQyJycMwu",1872962594316956050
1872962472619180501,"🐖🐖 are happy getting such a present  ⚽ under the 🎄

#EmojiFi #Emoji #LiverpoolFC #FCBarcelona #ManchesterUnited #Bayern #pumpfunlive #pumpfun #Legia #ajax #RealMadrid #Juventus https://t.co/dBuuJuVSDi",1872962472619180501
1872960801125847133,"Passing in 4 players, 

#Passing #Players #Brazil #RealMadrid #Coordination #Training #Teamwork #Skills #Football https://t.co/AH431CNUbP",1872960801125847133
1872957981031317786,Dreams do come true hah #realmadrid #trent https://t.co/IP76PuDrsi,1872957981031317786
1872955321955779034,"With the rise of remote work, the demand for homes outside major urban centers is on the rise. More people are seeking spacious properties in suburban or rural areas that offer both tranquility and proximity to urban hubs.  
#REALITY #Evelyn #RealMadrid #realestatetips #business",1872955321955779034
1872952493732503974,"Vini Jr.'s statement after Globe Soccer - It’s not easy to get here. I’ve given up a lot to pursue my dreams, and one main goal that continues to push me is to make my loved ones proud.
#football #vinijr #realmadrid #fyp #fypシ゚viralシ #foryouシ #foryoupage #explore #explorepage https://t.co/UUODrjjlLm",1872952493732503974
1872951895079436768,"Everyone hanging on to La Marca saying Trent wants to go to Madrid, on día de los inocentes.  

If you don't know what that is, look it  #TAA #LFC #RealMadrid #DiadelosInocentes",1872951895079436768
1872949802113061072,🚨🆕 Trent Alexander-Arnold has communicated Liverpool that he wants to play for Real Madrid. #LFC #RealMadrid https://t.co/9VMWGTo2h1,1872949802113061072
